,X,y
70,[-0.49845741 -1.10499806 -0.82114609  1.0792356   0.06010654 -1.13096239],1
71,[-0.25500142  0.04750054  0.34297032  1.06582853 -0.00422898 -1.22471095],1
72,[-0.2813689  -0.57446626 -0.49777263  1.15942077 -0.01284662 -1.02389057],1
73,[-0.0218615  -0.24885313 -0.12711325  1.36977671  0.13768948 -0.18582979],0
74,[-0.60164102 -0.68573671 -0.18109276  1.27632619 -0.12865384 -0.40912229],0
75,[ 0.0638411   0.28863018  0.29486731  1.26007704  0.00131918 -0.94423901],1
76,[-0.06915729 -0.25093571 -0.13676165  1.13240639  0.11711108 -1.04434666],1
77,[-0.24226146 -0.40090014 -0.14340938  0.98040844  0.12312152 -1.37231547],1
78,"[-2.77632222e-01 -5.05863930e-01  2.30947151e-04  1.14914505e+00
 -3.01070423e-02 -1.19589516e+00]",1
79,[-0.69827872  0.13344184 -0.08291962  1.11808105 -0.01809688 -0.99908142],1
80,[-0.02230581  0.03365266  0.39685742  1.18627435 -0.18618267 -0.69381225],1
81,[ 0.18620222  0.27927128 -0.37309766  1.00829932  0.06791322 -1.2293951 ],1
82,[-0.18939844  0.05020008 -0.2627667   0.93945897  0.16083776 -0.74544047],0
83,[-0.03286088 -0.40104434 -0.11700362  1.07843817  0.1079029  -1.25131542],1
84,[ 0.55549232 -0.47831893  0.21790195  0.85149385  0.22657981 -1.46359693],1
85,[-0.53822573 -0.37523197 -0.33162373  1.00240385 -0.00262443 -1.11901553],1
86,[-0.19724639 -0.06318991 -0.20117638  1.09199834  0.01031639 -1.2699707 ],1
87,[ 0.15181166  0.0119756   0.43350076  1.03006707  0.14925771 -1.38986943],1
88,[-0.29923302 -0.5252604   0.15081798  0.97497019  0.11373497 -1.41997287],1
89,[ 0.02007993 -0.51710301  0.28267131  1.32954997 -0.3649541  -0.64166873],0
90,[ 0.36864363  0.34313889 -0.19020188  1.21608497 -0.06476362 -1.02876371],1
91,[-0.16377614 -0.5342217   0.12491089  1.04181804  0.10324455 -1.39641443],1
92,[-0.42286347 -0.2609243  -0.50195027  1.18359698  0.0507708  -0.77157437],0
93,[ 0.10667469 -0.1356324  -0.44001089  1.23739558  0.11276704 -0.84306013],0
94,[-0.29446262 -0.00161926 -0.15130851  1.11330887  0.11274219 -1.19681127],1
95,[-0.02409416  0.53505817 -0.67373007  0.65602154  0.13499157 -0.93532264],0
96,[-0.12264073 -0.03644925 -0.72867219  0.80987157  0.34782299 -0.4380687 ],0
97,[-0.64566991 -0.11183057  0.02490662  0.81222069  0.02122429 -1.30481214],1
98,[-0.14918294 -0.51491025 -0.60216598  1.1858798  -0.05245145 -1.0931819 ],0
99,[-0.11392636 -0.12129925 -0.30794253  0.98738591  0.13702924 -1.28296218],1
100,[-0.33570361  0.03413117 -0.19453205  1.28339947  0.22512794 -0.72898074],0
101,[ 0.87647711 -0.45540645  0.50270994  1.21028985 -0.14747484  0.41508734],0
102,[ 0.15276551 -0.77056374 -0.01918169  1.02364683  0.15613112 -1.4052178 ],1
103,[ 0.30030759 -0.64323989  0.29376277  1.32337099  0.00677874 -0.09667077],0
104,[ 0.29674356 -0.36839689 -0.12207196  1.2790995  -0.17487954 -0.26733673],0
105,[ 0.11471254 -0.11756398  0.06232742  1.06309807  0.07485745 -1.31931275],1
106,[-0.1623966  -0.02174842  0.12257799  1.1401433   0.03040233 -1.09510521],1
107,[-0.73808547  0.0217997   0.29083676  1.12600731 -0.00876437 -1.22000666],1
108,[-0.12857785  0.01895285  0.13254439  1.00595264  0.10169453 -1.28594169],1
109,[-0.08885038 -0.14931953 -0.285294    1.17803764 -0.06802321 -1.02687165],1
110,[ 0.51415816 -0.06433232 -0.72868403  0.9588155   0.12936488 -0.63117286],0
111,[ 0.64914    -0.40716497 -0.77159812  1.20344037  0.19622642 -1.04447129],0
112,[-0.56798808 -0.1234927   0.04784829  1.07944132  0.03600809 -1.24655862],1
113,[-0.28377256 -0.22539379  0.09891602  1.01853764  0.04550745 -1.22180464],1
114,[ 0.11484291 -0.63275638  0.04417952  0.95262967  0.16852764 -1.41513995],1
115,[-0.34232551  0.03084279 -0.76160037  0.95288606  0.18369818 -0.95477326],0
116,[ 0.03670271 -0.2109511   0.24886247  1.03399409  0.1351462  -1.38657254],1
117,[ 0.15723341 -0.45700643  0.21130702  0.94380224  0.2044603  -1.4539615 ],1
118,[-0.5606153  -0.98880022 -0.52036149  1.11893075  0.0148601  -1.20869686],1
119,[ 0.28884631 -0.05259682 -0.11381828  1.31501161  0.18075888 -0.45215081],0
120,[-0.11645898 -0.03648961  0.40026395  1.03475994  0.08771129 -1.3426108 ],1
121,[-0.63186216 -0.40021283 -0.69793822  1.04366171  0.08075443 -1.07024925],0
122,[ 0.34306379 -0.38975677  0.60859059  0.95775296  0.17339313 -1.49961738],1
123,[-0.38002545 -0.20851989  0.0781777   1.15469109 -0.01829704 -1.17457801],1
124,[-0.02268396 -0.43959217 -0.05112831  1.06432557  0.08052581 -1.36722062],1
125,[ 0.03454972 -0.09652561 -0.13027503  0.96632426  0.28417205 -0.1554471 ],0
126,[ 0.12218697 -0.3121872   0.20173788  1.43293767 -0.04742141 -0.56414386],0
127,[ 0.29927697 -0.2737531   0.10638938  0.9317658   0.17746211 -1.41591144],1
128,[-0.15928433  0.81227592 -0.64847858  0.81196868  0.25374012 -0.57590068],0
129,"[ 1.00580920e-03  6.57879917e-03  2.69440393e-01  1.15129330e+00
  6.61260108e-02 -1.24233652e+00]",1
130,[-0.05370524 -0.23170474 -0.11453507  0.93777699  0.13678857 -1.36336778],1
131,[ 0.70074954 -0.02102009 -0.09078378  1.33067819 -0.10464794 -0.36907689],0
132,[ 0.37250243  0.05437044 -0.14590981  1.10740888  0.30962831 -0.27204272],0
133,[ 0.30112938 -0.21344791 -0.44315003  1.04782725  0.0967514  -1.26176712],1
134,[-0.48950884 -0.41975233 -0.83631524  1.17185853 -0.03697048 -0.95464832],0
135,[ 0.3545142  -0.58860453 -0.48602989  0.92696247  0.20169403 -1.31200138],1
136,[-0.56335374 -0.16271239 -0.5129516   0.82411645 -0.11101644 -0.32676139],0
137,[ 0.0279339   0.05431455  0.06788821  1.19700278 -0.04122728 -1.15106729],1
138,[-0.03715208 -0.40989675 -0.17206225  1.04194585  0.12320403 -1.21682451],1
