,X,y
307,[ 0.04656593  0.06723013 -0.29099293  1.10619293  0.05928113 -1.18646515],1
308,[-0.4618781  -0.00810145 -0.22766917  1.13235774  0.21469229 -0.8083041 ],0
309,[-0.31792382 -0.04433803  0.1675416   1.15263432 -0.05376439 -1.12384546],1
310,[-0.2369263  -0.60206545 -0.21141696  1.01962233  0.08977418 -1.34599689],1
311,[-0.08792587  0.23383929 -0.23451649  1.11607892  1.14288518 -0.15161456],0
312,[ 0.48966512 -0.75653925  0.0443878   0.91364471  0.20082832 -1.49273237],1
313,[ 0.65260627 -0.33475732  0.34195642  0.98956588  0.19546376 -1.48393236],1
314,[-0.17572179 -0.39513179  0.02278903  1.04161655 -0.26822513 -0.33913563],0
315,[ 0.92348281 -0.28307175  0.05039454  1.20538037 -0.15943452 -0.27766884],0
316,[ 0.16758175 -0.68936198  0.35350484  0.90256833  0.16279239 -1.51229403],1
317,[-0.47521764 -0.21059612  0.05184729  1.00762906  0.01845678 -1.28736233],1
318,[-0.5211481   0.06091206  0.11442173  0.98580964  0.06581968 -1.29508317],1
319,[-0.32597584  0.00648953  0.22689697  0.9806631   0.02786975 -1.25945904],1
320,[-0.1020437   0.10515257  0.32607362  1.13505588  0.03444673 -1.13222643],1
321,[ 0.47847818 -0.46188074 -1.48692957  1.25346568 -0.00271709 -0.95641208],0
322,[ 1.06140037 -0.06851244 -0.50050803  1.37406165  0.06985285 -0.36802936],0
323,[-0.18547159  0.0183149   0.36893135  1.06041891  0.09531057 -1.33105276],1
324,[-0.28101263 -0.31794494 -0.20893582  1.15799017  0.39025135 -0.28157518],0
325,[-0.07395116 -0.15555232  0.30339157  1.03287634  0.07966326 -1.32770517],1
326,[-0.66176794  0.32010996 -1.2128324   0.92235354 -0.19263781 -0.36869839],0
327,[-0.80876144 -0.4609808   0.28409958  1.35790958  0.03047114 -0.0551508 ],0
328,[-0.06608545 -0.25707897 -0.47054419  1.15871079  0.03661738 -1.03281891],0
329,[ 0.11468722  0.04106362  0.00867895  1.1817144  -0.0226083  -1.14375418],1
330,[ 0.07923089  0.03851542 -0.24715518  1.09164222  0.11767643 -1.22341079],1
331,[-0.1231173  -0.21626551  0.19058836  1.07843859  0.08866523 -1.31560583],1
332,[ 0.2375458  -0.96380611 -0.10666528  1.34970123 -0.04259031 -0.20455905],0
333,[-0.48863451 -0.49677765 -0.82403196  1.0961708   0.02453057 -1.08013574],0
334,[ 0.00336814 -0.57510066 -0.38288675  1.00710228  0.14803435 -1.28744893],1
335,[-0.21647817 -0.53081796  0.19253547  1.01645159  0.08011209 -1.39923625],1
336,[-0.44887408 -0.48062582 -0.63297102  1.14231514 -0.35147966 -0.5945334 ],0
337,[ 0.09593276  0.0600151  -0.09902371  1.13667967  0.07383911 -1.18194709],1
338,[-0.14271459  0.3027233   0.01540923  0.81536883 -0.17192884 -0.47246651],0
339,[1.40800383 0.02882939 0.3862007  0.91353529 0.31716833 0.44109974],0
340,[-0.37435284 -0.22581922 -0.10520209  1.09818903  0.06003336 -1.1962933 ],1
341,[-0.55838843 -0.31305818 -0.1037961   1.10665266  0.03799889 -1.27559361],1
342,[-0.34384348  0.19510187  0.07519897  1.00534013  0.06962532 -1.28534238],1
343,[ 0.04441531  0.12488095 -0.88596759  1.17331614 -0.06731328 -1.04612004],0
344,[ 0.28743363 -0.58241934  0.07229507  0.9631797   0.18317422 -1.41932054],1
345,[-0.61709596 -0.08992434  0.39430406  1.27511705 -0.18359018 -0.91435827],1
346,[-0.30530325  0.43888177  0.25632786  1.28837979 -0.13116249 -0.98132136],1
347,[-0.35906181 -0.40112453 -0.02700926  1.22636449 -0.10523119 -1.04211737],1
348,[-0.36738311  0.07548856 -0.23825515  0.98084144  0.18127906 -0.74155711],0
349,[-0.24785988 -0.21950267 -0.17407251  1.10113058  0.05639987 -1.13534323],1
350,[-0.11753496  0.57363936 -0.84972106  0.38649227  0.79465394 -0.44882995],0
351,[-0.50037347 -0.50113015 -0.30066887  1.07045769  0.05718874 -1.11167593],1
352,[ 0.05331779 -0.37128637  0.11157908  0.99967291  0.14378851 -1.4034005 ],1
353,[-1.33144703  0.01015003 -0.35070673  0.76163457 -0.04920674 -1.06172279],1
354,[-0.89619548 -0.01894537 -0.60604783  0.86550377  0.09733773 -0.56664832],0
355,[ 0.17192208 -0.03133455 -0.50545483  1.12310198  0.08487432 -1.03971741],1
356,[-0.44319514 -0.17184212  0.18516401  1.08602185 -0.01038809 -1.23596346],1
357,[ 0.17365646 -0.08370521  0.62242896  0.99750524  0.15290623 -1.43075089],1
358,[-0.79112963 -0.42797343 -0.17297523  0.95392571  0.04322278 -0.42812272],0
359,[-0.18558662 -0.43967592 -0.22018481  1.05184376  0.08380813 -1.27772574],1
360,[ 0.01300662  0.39724442  0.02120628  1.00829961  0.09270038 -1.00603804],1
361,[-0.01824727 -0.40910389 -0.33415802  1.21873125  0.13847571 -0.89301115],0
362,[-0.2313049  -0.11000699  0.16141925  1.14483489  0.01818055 -1.17744361],1
363,[-0.06711717 -0.15326505 -0.32489787  1.12568769  0.16487455 -1.10829945],0
364,[-0.19980785 -0.41556765 -0.00192133  1.18005282 -0.10769408 -0.66821133],0
365,[ 0.15661604 -0.2187944  -0.15189396  0.9450339   0.13059609 -1.26722063],1
366,[-0.32074418  0.01814016  0.35066261  1.02356774  0.01334777 -1.25636095],1
367,[-0.35672071 -0.06436569  0.09115054  1.05492848  0.07768198 -1.31350908],1
368,[ 0.10851802 -0.15313023 -0.10010705  1.15029521  0.09310852 -1.21401173],1
369,[-0.21985266 -0.27123523 -0.53522716  1.15600323  0.03583776 -1.17846948],1
370,[-0.09510687 -0.23410485 -0.17375826  1.04797094  0.1022963  -1.25251773],1
371,[-0.0343769  -0.74145995  0.1130196   0.93561132  0.14547618 -1.46574588],1
372,[ 0.40130591 -0.01082097 -0.89512002  1.23465095  0.11360322 -0.99184323],0
373,[-0.09299763  0.14658566  0.0578401   1.11952506  0.04849939 -1.12481252],1
374,[ 0.07163174 -0.90926023 -0.42489314  1.02786     0.17216002 -1.34606935],1
375,[-0.4454959  -0.14688044  0.42572004  1.33307866  0.35825471 -0.19962725],0
376,[-0.13168048  0.26568848  0.18475445  1.16419375  0.03773392 -1.12697461],1
377,[ 0.47771738  0.09950312 -0.19487587  0.91750425  0.22007373  0.14881832],0
378,[-0.3711444  -0.65197693 -0.33380636  1.11044787  0.08152822 -1.19874647],1
379,[-0.00806269 -0.14670978 -0.24603803  1.05616685  0.06005471 -1.19225542],1
380,[-0.19425799 -0.77016695 -0.04843508  1.27121226 -0.32072989 -0.50516642],0
381,[-0.25820465  0.04928182 -0.19355327  1.15881172  0.02531735 -1.19570384],1
382,[-0.59633191 -0.04116188 -0.34598627  0.31348949 -0.65590768  0.06826061],0
383,[-0.63886942 -0.25294623  0.14386195  1.19316809 -0.0957966  -0.24336458],0
384,[-0.16077159 -0.55708471  0.33531417  0.91372187  0.10856702 -1.45279689],1
385,[ 0.60353958 -0.01985396 -0.03813504  0.98781335  0.17940862 -1.3591157 ],1
386,[-0.25255233  0.14714035 -0.19816691  1.07915124  0.11221026 -1.04662019],0
387,[ 0.39618367 -0.32241491 -1.05003005  1.06749524  0.499634   -0.86178695],0
388,[ 0.16209566 -0.09148715 -0.0868949   1.10527876  0.08399804 -1.1330439 ],1
389,[ 0.47267639 -0.34854651  0.10915063  1.00616956  0.1807049  -1.42725859],1
390,[-0.13960535 -0.47399932  0.80387645  1.33860419  0.04099466 -0.15467506],0
391,[-0.24046882 -0.04481595  0.11096679  0.98798957  0.07881691 -1.33347658],1
392,[-0.12470497 -0.13639205 -0.38937452  1.21396188  0.0694152  -0.72521917],0
393,[-0.2677395  -0.55067969 -0.59514698  1.027035    0.09518977 -1.30694979],1
394,[-0.38229097  0.22494442 -0.18618773  1.06892392  0.25114226 -1.07092246],0
395,[-0.25785075 -0.27142757  0.20187873  0.94948896  0.13946455 -1.39091957],1
396,[ 0.18954801 -0.13397427  0.52766527  0.95918928  0.14831439 -1.45154453],1
397,[-0.36186104 -0.40258479 -0.1694804   1.30700415  0.18763909 -0.2921193 ],0
398,[-0.46431263 -0.19474022 -0.17009341  1.00581888  0.04470256 -1.24826895],1
399,[-0.45721168 -0.20267652 -0.24510613  1.12248493 -0.01285422 -1.1312102 ],1
400,[ 1.21553591  0.30430796 -0.76015829  1.13098097  0.11898735 -1.11970336],1
401,[-0.37132649  0.1028594   0.12708225  1.07814678  0.00573564 -1.12051169],1
402,[-0.4281037  -0.13329564 -0.16877774  1.01488118  0.01247075 -1.2454673 ],1
403,[-0.50169148  0.15033052 -0.40178723  1.19709102 -0.16343612 -0.90822049],0
404,[-0.24457002  0.0346047   0.2529294   1.18431035 -0.11277919 -1.0576853 ],1
405,[ 0.04768956 -0.3842293  -0.30408449  1.07383181  0.02880655 -1.16998773],1
406,[-0.20479171 -0.30732219  0.11001169  1.07065864  0.0611659  -1.27344911],1
407,[-0.40611648 -1.09104032 -0.66367583  0.95620013  0.06549692 -1.24586675],1
408,[-0.47412544 -0.06251353 -0.50123473  0.98402248  0.24094879 -1.01421266],0
409,[-0.55715605  0.10457371  0.17484748  1.17671197  0.02758614 -1.16109948],1
410,[-1.19548606 -0.28583172 -0.21317956  1.02042723 -0.14323487 -0.88376544],0
411,[ 1.53624395  0.38586771 -0.79726879  1.02624473  0.49362766 -1.06641358],0
412,[ 0.44518382 -0.2356731  -0.9468013   1.12044346  0.07975493 -1.05196475],0
413,[ 0.23426635 -0.30805782 -0.24151222  1.03981752  0.12701307 -1.28733873],1
414,[ 0.52834335 -1.22557924  0.03049269  0.93046895  0.24128363 -1.53947415],1
415,[ 0.5426597  -0.24463525  0.45280482  1.48687834 -0.56059128 -0.37365694],0
416,[-0.96260604 -0.18098565 -0.43336015  1.10399099  0.28442471 -0.73042064],0
417,[-0.16351545 -0.13375436 -0.6804677   1.119903    0.16957598 -1.12459455],0
418,[ 0.8344153  -0.25936666  0.46348649  0.99581964  0.20364932 -1.49234804],1
419,[ 0.88348267  0.60126591 -0.72691234  0.82605552  0.15715845  0.14239241],0
420,[-0.33778532  0.21614912  0.02826607  1.17814617  0.0662823  -0.46121387],0
421,[-1.18602037 -0.04397851 -0.2951998   0.89454694 -0.02673608 -0.64962216],0
422,[ 0.51865353 -0.16929189  0.48636182  1.32196982  0.01203331 -0.15682683],0
423,[-0.38464521 -0.50314136 -0.24628178  1.0408783   0.06901223 -1.28724215],1
424,[-0.34095294  0.06713052 -0.37905877  1.01199669  0.14550689 -1.17026064],1
425,[-0.33477842 -0.16134117 -0.24294868  1.09838747  0.02881057 -1.12831418],1
